,file_scraped,Corresponding_URL
44,thehindu_jan_1_file_45.json,https://www.thehindu.com/news/international/us-state-department-calls-for-immediate-release-of-sentenced-hk-activists/article33466318.ece
45,thehindu_jan_1_file_46.json,https://www.thehindu.com/entertainment/back-to-the-theatre/article33470181.ece
46,thehindu_jan_1_file_47.json,https://www.thehindu.com/business/reserve-bank-unveils-digital-payment-index/article33475162.ece
47,thehindu_jan_1_file_48.json,https://www.thehindu.com/real-estate/legal-queries-answered/article33470694.ece
48,thehindu_jan_1_file_49.json,https://www.thehindu.com/news/national/covid-19-vaccine-rollout-health-ministry-plans-communication-strategy/article33475100.ece
49,thehindu_jan_1_file_50.json,https://www.thehindu.com/news/national/over-850-academics-sign-open-letter-in-support-of-farm-laws/article33474904.ece
50,thehindu_jan_1_file_51.json,https://www.thehindu.com/news/national/ready-to-celebrate-lohri-at-the-borders-but-theres-no-going-back-now-farmers/article33474857.ece
51,thehindu_jan_1_file_52.json,https://www.thehindu.com/news/national/farmers-to-escalate-protest-if-deadlock-continues-on-january-4/article33474840.ece
52,thehindu_jan_1_file_53.json,https://www.thehindu.com/news/national/it-was-in-basic-character-of-a-hindu-to-be-patriotic-rss-chief/article33474712.ece
53,thehindu_jan_1_file_54.json,https://www.thehindu.com/news/national/indian-soldier-killed-in-pak-firing/article33474664.ece
54,thehindu_jan_1_file_55.json,https://www.thehindu.com/news/national/india-uk-flights-to-resume-from-jan-8/article33474137.ece
55,thehindu_jan_1_file_56.json,https://www.thehindu.com/news/national/government-staff-to-get-disability-compensation-if-they-get-disabled-in-line-of-duty-jitendra-singh/article33474088.ece
56,thehindu_jan_1_file_57.json,https://www.thehindu.com/news/national/ed-attaches-assets-worth-72-crore-in-a-pmc-bank-loan-fraud-case/article33474005.ece
57,thehindu_jan_1_file_58.json,https://www.thehindu.com/news/national/india-asks-china-to-help-39-sailors-stuck-at-chinese-ports/article33473882.ece
58,thehindu_jan_1_file_59.json,https://www.thehindu.com/news/national/over-850-academics-sign-open-letter-in-support-of-farm-laws/article33473767.ece
59,thehindu_jan_1_file_60.json,https://www.thehindu.com/news/national/sri-lanka-calls-for-joint-patrols-to-resolve-fishing-issues-with-india/article33473710.ece
60,thehindu_jan_1_file_61.json,https://www.thehindu.com/news/national/rashtrapati-bhavan-museum-to-reopen-from-january-5/article33473080.ece
61,thehindu_jan_1_file_62.json,https://www.thehindu.com/news/national/tahawwur-ranas-extradition-hearing-delayed-again/article33473050.ece
62,thehindu_jan_1_file_63.json,https://www.thehindu.com/news/national/amartya-again-refutes-visva-bharati-vcs-call-claim/article33472659.ece
